ID,Pillar,Target Customer Segment,Industry Sector,Example Target Organizations,Economic Buyer (Authority),Internal Champion,Primary Operational Pain Point,Estimated Deal Value (USD),MEDDPICC Qualification Rule,Trigger Event / Catalyst,Value Proposition
AERO-01,Vector Aero (Anti-UAV),Civil Aviation Authorities & International Airports,Aviation & Transportation,"Malaysia Airports Holdings Berhad (MAHB), Changi Airport Group (CAG), PT Angkasa Pura (Indonesia), Airports of Thailand (AOT)",Director of Aviation Security / Chief Operating Officer (COO),Head of Airside Safety & Operations / Chief Security Engineer,Low-RCS drone incursions causing airport shutdown ($1M+/hour flight delay costs) and compliance with CAAM/ICAO airspace mandate,"$500,000 - $2,500,000 TCV",Must have active airport expansion or recent drone near-miss alert; budget >$500k,CAAM drone security mandate update; airport expansion announcement; near-miss incident,Unified Command Gateway integrating AESA micro-Doppler radar & RF jamming with sub-100ms automated response
AERO-02,Vector Aero (Anti-UAV),Military & Armed Forces Air Defense,Defense & National Security,"Malaysian Armed Forces (ATM), Singapore Armed Forces (SAF), TNI (Indonesia), Royal Thai Armed Forces",Defense Procurement Director / Chief of Materiel,Head of Air Defense Systems / Electronic Warfare Lead,"Asymmetric drone swarm threats against forward military bases, ammo dumps, and naval ports","$1,000,000 - $10,000,000+ TCV",Active defense budget procurement cycle; STANAG 4586 compliance requirement,Regional defense budget allocation release; Joint exercises identifying C-UAS gaps,"Military-grade multi-spectral sensor fusion, tactical directional jamming & kinetic drone interception"
AERO-03,Vector Aero (Anti-UAV),Oil & Gas Refineries & Offshore Platforms,Energy & Petrochemicals,"PETRONAS (Kerteh/Pengerang), Shell Malaysia, Pertamina (Indonesia), PTTEP (Thailand)","VP of Health, Safety & Environment (HSE) / Head of Asset Protection",Refinery Operations Director / Physical Security Manager,"Aerial espionage, explosive drone attack risk on high-pressure gas/chemical storage tanks","$400,000 - $1,500,000 TCV",High-hazard facility status; perimeter security budget allocated,HSE perimeter risk audit failure; regional industrial security alert,24/7 autonomous RF & optical perimeter surveillance with zero explosion-hazard ignition risks
AERO-04,Vector Aero (Anti-UAV),Power Grids & Hydroelectric Power Stations,Utilities & Infrastructure,"Tenaga Nasional Berhad (TNB), Sarawak Energy, PLN (Indonesia), Electricity Generating Authority of Thailand (EGAT)",Chief Infrastructure Officer / VP of Transmission,Substation Security Director / Grid Reliability Lead,Substation sabotage via payload-dropping drones causing blackout events affecting millions,"$300,000 - $1,200,000 TCV",Critical national infrastructure classification; multi-site deployment scope,Government grid resilience mandate; smart grid modernization push,Automated RF detection net providing early warning alerts across distributed power substations
AERO-05,Vector Aero (Anti-UAV),Correctional Facilities & High-Security Prisons,Government & Law Enforcement,"Malaysian Prisons Department (Jabatan Penjara Malaysia), Singapore Prison Service",Director General of Prisons / Ministry of Home Affairs Procurement,Prison Warden / Security Operations Superintendent,"Contraband delivery (weapons, drugs, phones) over prison walls via commercial micro-drones","$200,000 - $800,000 TCV",Active contraband smuggling via drone recorded; Ministry budget available,Publicized contraband seizure; Ministry security audit,Non-kinetic directional RF jamming shield isolating prison airspace 24/7 without disrupting emergency services
AERO-06,Vector Aero (Anti-UAV),Maritime Commercial Ports & Shipping Terminals,Maritime & Logistics,"Port of Klang Authority, Port of Singapore Authority (PSA), Johor Port Berhad, Penang Port",Head of Port Security / Chief Operations Officer,Harbor Master / Port Facility Security Officer (PFSO),"Unsanctioned drone reconnaissance over container yards, oil tankers, and naval vessel docks","$400,000 - $1,800,000 TCV",ISPS Code compliance requirement; heavy container traffic volume,Port expansion; ISPS audit review; unauthorized vessel surveillance report,Coastal AESA radar coverage combined with maritime-hardened C-UAS jammer pods
COMP-01,Vector Compute (EvoMax),B2B Generative AI SaaS Scale-ups,Software & AI Tech,"Mindvalley, StoreHub, ServiceRocket, Supahands, regional AI writing & coding SaaS startups",Chief Technology Officer (CTO) / VP of Engineering,Lead AI Architect / Head of Infrastructure,Runaway LLM API costs ($30k–$150k/mo token burn) destroying software gross margins,"$24,000 - $72,000 ACV ($2k-$6k/mo subscription)",Monthly token spend >$20k/mo; p95 latency >1.2s; using OpenAI/Claude APIs,Series A/B funding round; C-suite mandate to improve gross margins; API rate-limit bottlenecks,Drop-in middleware cutting prompt token volume by 30-40% and reducing API latency by 120ms with 0 code changes
COMP-02,Vector Compute (EvoMax),Digital Banks & FinTech Platforms,Banking & Financial Technology,"Touch 'n Go Digital, Grab Financial Group, GXBank, Boost Bank, Wise ASEAN, Revolut",Chief Information Officer (CIO) / Head of Financial Tech Infrastructure,Principal LLM Engineer / Lead Data Scientist,High cost and high latency when processing million-token financial documents and automated compliance checks,"$48,000 - $120,000 ACV",High query volume; strict data sovereignty compliance required; active LLM feature scaling,Launch of AI financial advisor / customer agent; quarterly COGS audit,On-premise / VPC-deployable EvoMax token compression with Zero-Data-Retention SLA
COMP-03,Vector Compute (EvoMax),Customer Service & Contact Center AI Providers,Telecommunications & Customer Experience,"Teleperformance Malaysia, Concentrix ASEAN, Agmo Holdings, Daythree Tech, Teledirect",Chief Digital Officer (CDO) / VP of Customer Experience Tech,Head of Automation / Conversational AI Product Lead,API latency spikes during live customer chat interactions causing user drop-off & high cost per resolved ticket,"$36,000 - $96,000 ACV",>100k daily chat sessions; real-time streaming requirements,Omnichannel AI migration project; contract renewal with legacy chatbot vendor,Sub-50ms proxy compression overhead providing instant SSE stream acceleration and 35% token savings
COMP-04,Vector Compute (EvoMax),HealthTech & Telemedicine AI Assistants,Healthcare & Life Sciences,"DoctorOnCall, Naluri, Speedoc, BookDoc, HealthifyMe ASEAN",Chief Medical Information Officer (CMIO) / CTO,Lead Health Data Architect,High token costs for parsing long medical transcripts and EHR histories while maintaining strict privacy SLA,"$30,000 - $84,000 ACV",Processes medical records via LLMs; requires RAM-only non-persistent processing,Telehealth user volume surge; HIPAA/PDPA compliance audit,RAM-only semantic context compression preserving medical entity accuracy while lowering inference bills
RESELL-01,Vector Compute (Token Logistics),Enterprise AI Research Labs & Universities,Education & Deep-Tech Research,"Universiti Malaya AI Centre, NTU Singapore, NUS AI Institute, MIMOS Berhad",Dean of Research / Director of High-Performance Computing,Lead AI Researcher / Compute Allocation Manager,"Unstable credit limits, lack of local billing/tax invoicing, and rate limits on global API accounts","$50,000 - $300,000 Annual Token Volume",Requires high-throughput dedicated channels; localized SST/GST invoicing,Government research grant award; new AI research initiative announcement,SLA-backed MiniMax & frontier LLM token distribution with local invoice billing and dedicated throughput support
RESELL-02,Vector Compute (Token Logistics),Enterprise Software Systems Integrators & MSPs,IT Services & Enterprise Consulting,"Axiata Digital Labs, TM One (Telekom Malaysia), Maxis Enterprise, HeiTech Padu",VP of Cloud & AI Solutions / Head of Partner Ecosystems,Enterprise Solutions Architect,Inability to resell foundation model tokens to government/corporate clients due to lack of wholesale distribution margin,"$100,000 - $500,000 Annual Partner Revenue",Existing MSP client base of 50+ enterprise accounts; active cloud migration contracts,RFP submission requiring AI model integration; enterprise partner program review,"Wholesale token distribution pricing, white-label API proxy, and tier-1 partner margin share"
INST-01,Vector Institute (Academy),Public Listed Companies (PLCs) with HRD Corp Funds,Conglomerates & Diversified Holdings,"Sime Darby, Sunway Group, IOI Corporation, YTL Corporation, Gamuda Berhad",Chief Human Resources Officer (CHRO) / Head of Learning & Development,Head of Organizational Development / AI Center of Excellence Lead,Low employee AI tool adoption (<15%) despite procuring Microsoft Copilot / ChatGPT licenses; unutilized HRDF levy,"$35,000 - $120,000 per Cohort (100% HRD Corp Claimable)",Available HRDF levy balance >RM150k; employee headcount >500,End-of-year HRDF levy balance expiration warning; C-suite mandate for AI adoption,100% HRD Corp claimable Executive AI & Agentic Bootcamp certifying teams with 90%+ tool adoption rates
INST-02,Vector Institute (Academy),Commercial Banks & Financial Institutions,Banking & Financial Services,"Maybank, CIMB Bank, RHB Bank, Hong Leong Bank, Public Bank, Bank Islam",Head of Talent Development / Chief Transformation Officer,Head of Digital Workforce / Business Unit HR Director,"Skills gap among middle management in writing structured prompts, governance compliance, and agentic automation","$50,000 - $150,000 Enterprise Contract",Active digital transformation program; strict regulatory data privacy standards,BNM / Regulatory push for AI governance; annual employee upskilling calendar,"Role-specific AI training modules covering prompt engineering, agentic workflow logic, and financial compliance"
INST-03,Vector Institute (Academy),Telecommunication & Technology Corporations,Telecommunications,"CelcomDigi, Maxis, Time dotCom, U Mobile",Chief People Officer (CPO) / VP of Technology Talent,Director of Capability Building / Enterprise Agile Coach,Engineering and customer support staff lacking formal training on agentic AI frameworks and prompt optimization,"$40,000 - $100,000 per Training Contract","Over 1,000 technical employees requiring AI literacy certification",Merger integration (e.g. CelcomDigi integration); launch of internal AI CoE,Customized technical AI bootcamps with practical hands-on capstone projects applicable to telco workflows
